ticker,name,n_hit,hits,detail,avoid,comb_grade,comb_up,comb_sure,ss_rank,ss_score,ss_name,ai_group,ai_rank,ai_tf5,mp_rank,mp_win,mp_score,mp_flag,rh,catalyst,score,miss,close,volidx,volidx_slope,grav_slope,clock,c5_cat,dist_grav_pct,turnover20_m,bars,hist_ok,vcp,vcp_grade,struct,lists
GL,Globe Life,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,73.3,18.3,,,,,,,,,,,,,1,①②④⑤⑥,167.32,90.9,-0.03,-0.497,3:47,已中斷,-3.65,69.6,268,True,51.9,C 基底修復,LH/LL,Combined_R22
VOYA,Voya Financial Inc. Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,84.9,29.3,,,,,,,,,,,,,1,①②④⑤⑥,96.09,90.1,-0.18,-0.051,5:40,已中斷,-5.01,123.4,268,True,51.3,C 基底修復,LH/LL,Combined_R22
TEL,,1,chat3 SubSector R12,#3 電子硬件與EMS/連接器（5 日分 98，斜率 +0.04）,,,,,3.0,98.2,電子硬件與EMS/連接器,,,,,,,,,,1,①②④⑤⑥,213.67,84.7,-0.16,-0.101,11:47,已中斷,3.41,413.5,268,True,35.7,D 趨勢弱,LH/LL,AI_R13+SubSector_R12
ILMN,,1,chat3 SubSector R12,#1 診斷與生命科學工具（5 日分 100，斜率 +0.24）,,,,,1.0,100.0,診斷與生命科學工具,,,,,,,,,,1,②③④⑤⑥,273.9,72.6,-1.29,1.975,12:52,已中斷,16.32,888.3,268,True,65.0,E 延伸,HH/HL,SubSector_R12
KNSA,Kiniksa Pharmaceuticals International pl,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,77.2,25.7,,,,,,,,,,,,⚠ 9/16 +3.3%,1,①②③⑤⑥,75.34,72.3,-0.06,-0.077,8:49,已中斷,-3.78,42.0,268,True,59.8,C 基底修復,LH/LL,Combined_R22
FLR,Fluor,1,chat2 Combined R22,VCP B、Weinstein 2A（線上 2/3）,,B/2A/—,80.6,26.5,,,,,,,,,,,,,1,①②③⑤⑥,50.63,70.8,-1.48,-0.061,8:49,已中斷,-6.57,125.8,268,True,49.2,C 基底修復,LH/LL,SubSector_R12+Combined_R22
UMC,,1,chat3 SubSector R12,#9 晶圓代工/IDM（5 日分 93，斜率 +0.44）,,,,,9.0,92.7,晶圓代工/IDM,,,,,,,,,,1,②③④⑤⑥,24.1,65.7,-0.32,0.11,2:49,—,11.67,270.7,268,True,56.6,E 延伸,HH/HL,SubSector_R12
KTOS,,1,chat3 SubSector R12,#13 國防科技與無人機（5 日分 89，斜率 +0.12）,,,,,13.0,89.1,國防科技與無人機,,,,,,,,,,1,①③④⑤⑥,47.02,63.4,0.81,-0.613,11:05,已中斷,-9.67,176.4,268,True,4.3,D 趨勢弱,LH/LL,SubSector_R12
KGC,,1,chat3 SubSector R12,#28 黃金與貴金屬礦（5 日分 75，斜率 +0.24）,,,,,28.0,75.5,黃金與貴金屬礦,,,,,,,,,,1,①②③⑤⑥,24.42,63.2,-8.41,-0.328,8:49,已中斷,-21.32,225.3,268,True,0.0,D 趨勢弱,LH/LL,SubSector_R12
DDOG,,1,chat3 SubSector R12,#4 資料/分析平台（5 日分 97，斜率 +0.29）,,,,,4.0,97.3,資料/分析平台,,,,,,,,,,1,①③④⑤⑥,256.92,63.0,0.8,-0.046,1:42,已中斷,9.56,833.9,268,True,67.2,E 延伸,HH/HL,SubSector_R12+Combined_R22
RMBS,,1,chat3 AI Sector R13,C3 記憶體介面/控制晶片 Memory Interface #5（群組 5 日分 88，個股強度 +0.194）,,,,,,,,C3 記憶體介面/控制晶片 Memory Interface,5.0,0.194,,,,,,,1,②③④⑤⑥,104.55,61.7,-0.15,0.042,2:49,已中斷,13.24,249.9,268,True,17.0,E 延伸,LH/LL,AI_R13
PVLA,Palvella Therapeutics Inc. Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,68.9,31.8,,,,,,,,,,,,,1,①②③④⑤,146.07,61.0,-0.48,-0.266,3:51,已中斷,-3.45,32.5,268,True,58.2,C 基底修復,HH/HL,Combined_R22
NTLA,,1,chat3 SubSector R12,#32 基因治療與基因編輯（5 日分 72，斜率 +0.64）,,,,,32.0,71.8,基因治療與基因編輯,,,,,,,,,,1,①②③④⑤,12.16,60.5,-0.42,-0.012,10:13,已中斷,-1.93,48.4,268,True,20.0,D 趨勢弱,LH/LL,SubSector_R12
TSEM,,1,chat3 AI Sector R13,D2 矽光 / 光子 Silicon Photonics #10（群組 5 日分 72，個股強度 +0.440）,,,,,,,,D2 矽光 / 光子 Silicon Photonics,10.0,0.4397,,,,,,,1,①②③④⑤,217.28,49.9,-1.56,-1.71,1:39,已中斷,-2.0,409.0,268,True,45.9,D 趨勢弱,LH/LL,AI_R13
LWLG,,1,chat3 AI Sector R13,D2 矽光 / 光子 Silicon Photonics #10（群組 5 日分 72，個股強度 +0.062）,,,,,,,,D2 矽光 / 光子 Silicon Photonics,10.0,0.0621,,,,,,,1,①③④⑤⑥,5.28,45.0,0.7,-0.117,12:00,已中斷,-8.28,13.4,268,True,20.1,D 趨勢弱,LH/LL,AI_R13
IRD,Opus Genetics Inc.,1,chat1 動能回調 R21,總表 #9（動能 1月/2月/3月，爆發潛力 77.1）,,,,,,,,,,,9.0,1月/2月/3月,77.1,,,,1,①③④⑤⑥,4.87,38.5,0.74,-0.004,4:36,—,-12.58,28.4,268,True,43.6,E 延伸,HH/HL,MP_R21
AAOI,,1,chat3 SubSector R12,#22 光通訊/CPO（5 日分 81，斜率 +0.30）,,,,,22.0,80.9,光通訊/CPO,,,,,,,,,,1,①③④⑤⑥,101.03,36.2,0.49,-1.372,12:22,已中斷,-15.61,691.5,268,True,34.3,D 趨勢弱,LH/LL,SubSector_R12+Combined_R22
RKLB,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#7 太空與衛星（5 日分 95，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,7.0,94.5,太空與衛星,,,,,,,,受惠,,0,①②③④⑤⑥,73.61,58.1,-0.12,-0.183,12:02,—,6.94,1300.4,268,True,24.1,D 趨勢弱,LH/LL,SubSector_R12+RateHike_R2_受惠
